column_name,dictionary_role,table_id,dataset_id,target_row_key,target_label,target_description,target_scope,target_sdp_file,target_sdp_field,search_query,target_query_basis,target_query_context,column_label,column_description,code_value,code_label,code_description,label,iri,source,ontology,role,match_type,definition,score,alignment_only,agreement_sources,zooma_confidence,zooma_annotator,role_hints,role_hint_status,role_hint_bonus,role_hint_explanation,resource_kind,type_iris,search_role,retrieval_query,retrieval_pass,collision_roles,role_collision,role_collision_note
AREA,variable,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/AREA,AREA,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",column,column_dictionary.csv,term_iri,area,,,AREA,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",,,,Pacific fishery management area,https://w3id.org/gcdfo/salmon#PacificFisheryManagementArea,gcdfo,gcdfo,entity,label_partial,A reporting and management stratum representing a prescribed Pacific fishery management area in Canadian fisheries waters of the Pacific Ocean.,10.85,FALSE,1,,,,unknown,0,,Class,,entity,area,1,variable,FALSE,
AREA,variable,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/AREA,AREA,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",column,column_dictionary.csv,term_iri,area,,,AREA,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",,,,Pacific fishery management subarea,https://w3id.org/gcdfo/salmon#PacificFisheryManagementSubarea,gcdfo,gcdfo,entity,label_partial,A reporting and management stratum representing a prescribed subdivision of a Pacific fishery management area.,6.65,FALSE,1,,,,unknown,0,,Class,,entity,area,1,variable,FALSE,
AREA,variable,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/AREA,AREA,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",column,column_dictionary.csv,term_iri,area,,,AREA,"NuSEDS subdistrict code. The official dictionary says subdistricts can differ from statistical areas, especially in the Fraser; do not relabel this field PFMA.",,,,Population,https://w3id.org/smn/Population,smn,smn,entity,definition,"A group of organisms of the same species occupying a defined area that interbreed and share a gene pool. In salmon, populations are composed of one or more demes and form the biological basis for Conservation Units.",3.900000000000001,FALSE,1,,,entity,match,0.35,Candidate carries a entity role hint.,Class,http://www.w3.org/2002/07/owl#Class,entity,area,1,variable,FALSE,
NATURAL_ADULT_SPAWNERS,variable,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",column,column_dictionary.csv,term_iri,adult spawner count,,,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",,,,Spawner abundance,https://w3id.org/gcdfo/salmon#SpawnerAbundance,gcdfo,gcdfo,variable,class,The abundance (count) of adult salmon that reach spawning grounds in a given system and time period (often operationalized as escapement/spawning escapement).,10.166666666666666,FALSE,1,,,property,mismatch_property,-0.35,Candidate carries a property hint; kept lower for variable destination.,Class,,variable,adult spawner count,1,property|variable,TRUE,Label appears for variable and property candidates; this row targets variable semantics for term_iri.
NATURAL_ADULT_SPAWNERS,variable,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",column,column_dictionary.csv,term_iri,adult spawner count,,,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",,,,Relative hatchery spawner abundance,https://w3id.org/gcdfo/salmon#RelativeHatcherySpawnerAbundance,gcdfo,gcdfo,variable,class,"Hatchery-origin spawner abundance expressed as a relative (dimensionless) abundance metric to a defined reference (commonly benchmarks), for within-series comparison; in rapid-status workflows, relative abundance is computed using the current generational average (geometric mean) divided by CU-specific lower and/or upper benchmarks.",7.383333333333333,FALSE,1,,,,unknown,0,,Class,,variable,adult spawner count,1,variable,FALSE,
NATURAL_ADULT_SPAWNERS,variable,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",column,column_dictionary.csv,term_iri,adult spawner count,,,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",,,,Relative hatchery spawner abundance change,https://w3id.org/gcdfo/salmon#RelativeHatcherySpawnerAbundanceChange,gcdfo,gcdfo,variable,class,"A change metric (delta or percent change, as defined by the workflow) computed from relative hatchery-origin spawner abundance values over time; in rapid-status workflows, percent change is derived from log-transformed series and quantified over the most recent three generations.",7.383333333333333,FALSE,1,,,,unknown,0,,Class,,variable,adult spawner count,1,variable,FALSE,
NATURAL_ADULT_SPAWNERS,property,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",column,column_dictionary.csv,property_iri,spawner abundance,,,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",,,,Spawner abundance,https://w3id.org/gcdfo/salmon#SpawnerAbundance,gcdfo,gcdfo,property,label_exact,The abundance (count) of adult salmon that reach spawning grounds in a given system and time period (often operationalized as escapement/spawning escapement).,18.950000000000003,FALSE,1,,,property,match,0.35,Candidate carries a property role hint.,Class,,property,spawner abundance,1,property|variable,TRUE,Label appears for variable and property candidates; this row targets property semantics for property_iri.
NATURAL_ADULT_SPAWNERS,property,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",column,column_dictionary.csv,property_iri,spawner abundance,,,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",,,,Relative spawner abundance,https://w3id.org/gcdfo/salmon#RelativeSpawnerAbundance,gcdfo,gcdfo,property,label_partial,"Spawner abundance expressed as a relative (dimensionless) abundance metric to a defined reference (commonly benchmarks), for within-series comparison; in rapid-status workflows, relative abundance is computed using the current generational average (geometric mean) divided by CU-specific lower and/or upper benchmarks.",15.6,FALSE,1,,,property,match,0.35,Candidate carries a property role hint.,Class,,property,spawner abundance,1,property,FALSE,
NATURAL_ADULT_SPAWNERS,property,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",column,column_dictionary.csv,property_iri,spawner abundance,,,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",,,,Spawner abundance change,https://w3id.org/gcdfo/salmon#SpawnerAbundanceChange,gcdfo,gcdfo,property,label_partial,"A change metric (delta or percent change, as defined by the workflow) computed from spawner abundance values over time; in rapid-status workflows, percent change is quantified as a linear change in log-transformed abundance over the most recent three generations.",15.6,FALSE,1,,,property,match,0.35,Candidate carries a property role hint.,Class,,property,spawner abundance,1,property,FALSE,
NATURAL_ADULT_SPAWNERS,entity,escapement,fraser-coho-workshop,fraser-coho-workshop/escapement/NATURAL_ADULT_SPAWNERS,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",column,column_dictionary.csv,entity_iri,population,,,NATURAL_ADULT_SPAWNERS,"Reported estimate for mature spawners excluding jacks, under the source field NATURAL_ADULT_SPAWNERS. The official definition does not establish a natural-origin restriction; preserve that question rather than asserting it.",,,,Population,https://w3id.org/smn/Population,smn,smn,entity,label_exact,"A group of organisms of the same species occupying a defined area that interbreed and share a gene pool. In salmon, populations are composed of one or more demes and form the biological basis for Conservation Units.",15.549999999999999,FALSE,1,,,entity,match,0.35,Candidate carries a entity role hint.,Class,http://www.w3.org/2002/07/owl#Class,entity,population,1,entity,FALSE,
